Probe	Chromosome	Start	End	Strand	Expression
Mup16	4	61176624	61180563	-	-4.220997
Mup17	4	61252961	61256903	-	-4.0578313
Mup18	4	61331211	61335170	-	-4.062493
Mup19	4	61439358	61443322	-	-4.3164496
Gm13775	4	61444157	61462320	+	-4.076387
Mup5	4	61492353	61496267	-	-4.0547156
Mup20	4	61711268	61715192	-	-4.0593867
Mup3	4	61744510	61748376	-	-4.121759
Gm12909	4	61749322	61751558	+	-3.4775302
Gm12910	4	61773965	61781963	+	-3.7012517
Mup21	4	61808966	61811897	-	-3.6044178
Zfp37	4	61850574	61869480	-	-1.3760277
Slc31a2	4	61923596	61959445	+	2.8129518
Fkbp15	4	61961376	62021582	-	3.430391
Slc31a1	4	62021761	62052803	+	3.0893261
Cdc26	4	62044688	62069676	-	-1.2153146
Prpf4	4	62069831	62088024	+	3.600151
Rnf183	4	62088574	62096286	-	-0.71710575
Wdr31	4	62109687	62131930	-	4.0534177
Bspry	4	62141085	62158332	+	2.8994458
Hdhd3	4	62160042	62164501	-	-1.4651446
Alad	4	62170203	62180952	-	5.4614644
Pole3	4	62183683	62186102	-	5.1850624
4933430I17Rik	4	62186403	62209027	+	1.4172927
Rgs3	4	62220881	62364052	+	-0.62411565
Gm11209	4	62288711	62294746	-	-2.95295
Gm11210	4	62367015	62386771	+	-2.922505
Gm11211	4	62384550	62388571	-	-2.689246
Zfp618	4	62626607	62800742	+	0.41058978
Ambp	4	62804309	62815833	-	-4.661862
Kif12	4	62826668	62833165	-	-5.9306016
Col27a1	4	62875038	62996025	+	-5.396138
Orm1	4	63005594	63009197	+	-3.7994585
Orm3	4	63017196	63020545	+	-3.7957304
Orm2	4	63023483	63026912	+	-3.6474552
Akna	4	63028159	63064479	-	0.75062007
4933437N03Rik	4	63042392	63055052	+	1.2343904
Whrn	4	63075944	63157025	-	2.3492348
Atp6v1g1	4	63205806	63211784	+	2.5703049
6330416G13Rik	4	63219815	63247391	+	1.618451
Gm11213	4	63257936	63266295	-	-3.1112988
1700018C11Rik	4	63268123	63283462	-	-3.629766
Gm11482	4	63295455	63300474	+	-3.6912537
Tnfsf15	4	63385637	63406147	-	-6.7101912
Tnfsf8	4	63492342	63522381	-	-6.0958447
Tnc	4	63620819	63681760	-	-2.9238079
8030451A03Rik	4	63640888	63810958	+	-6.19682
Gm11216	4	63736567	63744848	+	-2.6690116
Gm11217	4	63915087	63937637	-	-4.957128
Pappa	4	64785208	65018543	+	-5.4894934
Astn2	4	65041837	66065645	-	-2.4183455
Trim32	4	65266020	65277272	+	2.5837443
Tlr4	4	66488618	66591318	+	-6.641237
Gm11751	4	67684065	67798147	+	-3.046896
Gm12911	4	67973691	67982995	-	-3.6587868
Dbc1	4	68422548	68615431	-	-6.7950306
Cdk5rap2	4	69877890	70071477	-	3.4378278
Megf9	4	70088099	70196029	-	1.8180661
Gm11228	4	70736143	70792167	-	-5.1765375
Gm11232	4	71416677	71418999	-	-4.9156513
Gm11234	4	71641511	71660593	+	-3.9242134
Tle1	4	71778176	71861953	-	4.787158
Gm11250	4	71829802	71830483	+	0.27817193
C630043F03Rik	4	71862382	71876386	+	-0.57576233
Aldoart1	4	72511755	72513668	-	-5.103781
Gm11487	4	73062066	73066106	-	-4.571003
Gm11237	4	73268913	73288075	+	-4.968763
Gm11236	4	73284035	73288075	+	-4.5699124
Gm11238	4	73299134	73303177	+	-4.5699124
Gm11239	4	73314258	73318301	+	-4.5742707
Gm428	4	73329420	73333462	+	-4.5699124
Rasef	4	73360483	73436613	-	-0.02140867
Gm11240	4	73437150	73444276	+	-0.7947169
Gm11758	4	73518123	73522170	-	-4.576445
Gm11757	4	73532970	73537016	-	-4.575359
Gm13871	4	73547811	73551857	-	-4.572093
Gm11756	4	73562632	73566664	-	-4.588346
2310002L09Rik	4	73585275	73596750	-	-5.276885
Frmd3	4	73659338	73848118	+	-6.7695994
Kdm4c	4	73888401	74051764	+	3.0832953
A230083N12Rik	4	73896228	73897618	-	0.6976165
3110001D03Rik	4	74923258	74924209	-	4.752658
Ptprd	4	75587142	77857865	-	0.3974014
RP23-405M24.1	4	77857859	77860081	+	-2.8596172
Gm11261	4	78305762	78307492	-	4.500136
Tyrp1	4	80480027	80497623	+	-5.6669726
D4Bwg0951e	4	80556550	80601532	+	0.8441887
Mpdz	4	80924404	81088719	-	2.707648
Gm11412	4	81389050	81392605	+	-5.652617
Gm12914	4	81576382	81578278	-	-2.4540713
Gm11264	4	81679216	81711794	-	-0.49770138
Gm5860	4	81711335	81748712	+	-1.2856828
Nfib	4	81936077	82351654	-	-1.363347
Gm11266	4	82153920	82193196	+	-4.361151
Gm11267	4	82230952	82233223	-	-2.1141455
Gm11269	4	82338709	82339615	+	-0.26614866
Zdhhc21	4	82444642	82505862	-	1.0753864
Cer1	4	82527655	82531052	-	-4.9654484
Frem1	4	82543825	82698243	-	-3.9132795
Ttc39b	4	82866204	82970159	-	1.8487762
Gm11413	4	83024221	83036572	-	-3.562143
Gm11184	4	83028968	83038109	+	-2.2674952
Snapc3	4	83063628	83113580	+	2.5224104
Psip1	4	83101584	83132363	-	4.4001365
Gm10154	4	83151051	83151458	-	-2.873831
4930473A06Rik	4	83171449	83510635	+	2.244177
Gm11415	4	83530642	83534762	-	-3.1082964
6030471H07Rik	4	83687943	83690783	-	-3.1439202
Gm12414	4	83772254	83776193	-	-3.1497731
Bnc2	4	83918446	84320990	-	3.2189987
Gm12415	4	84387379	84388195	+	-3.2014058
Cntln	4	84530213	84777825	+	1.6160191
Sh3gl2	4	84851030	85285099	+	1.4970995
Gm12680	4	85160231	85429031	+	-4.967935
Adamtsl1	4	85699819	86074289	+	0.67695916
Fam154a	4	86090545	86204232	-	-3.5644453
4930457A20Rik	4	86204350	86205708	+	-3.4960265
Rraga	4	86221577	86223185	+	5.4483957
Haus6	4	86224759	86257959	-	3.515089
Plin2	4	86294290	86315964	-	0.3819734
Dennd4c	4	86394459	86496507	+	2.1049798
Rps6	4	86500564	86503316	-	6.1427875
Acer2	4	86520300	86580726	+	-1.4286804
Slc24a2	4	86629028	86876381	-	-0.010247174
Gm12600	4	86944266	86947174	+	-3.6690116
Mllt3	4	87415829	87679268	-	2.4105968
Gm12631	4	87679405	87680902	+	-2.3645523
BC057079	4	87740533	88056915	+	4.0827456
Ptplad2	4	88042048	88084832	-	2.2314587
Ifnb1	4	88167929	88168698	-	-3.7901206
Gm12597	4	88203577	88204149	-	-3.3637974
Ifna14	4	88217133	88217702	-	-3.3562238
Ifna9	4	88237717	88238289	-	-3.3637974
Ifna12	4	88248484	88249280	-	-3.8398418
C87499	4	88273224	88280315	-	-5.284885
Ifna13	4	88289545	88290363	-	-3.8791254
Gm13280	4	88321819	88322828	-	-4.1815457
Ifna2	4	88328785	88329816	-	-4.212633
Ifnab	4	88336503	88337172	-	-3.5894232
Klhl9	4	88364196	88368369	-	3.5026984
Gm13274	4	88384742	88390198	-	-2.7131586
Gm13271	4	88400772	88401320	+	-3.3020682
Gm16686	4	88401099	88401494	-	-2.8307626
Gm13283	4	88405933	88417772	+	-4.9753695
Gm13290	4	88419152	88420707	+	-4.8050323
Gm13289	4	88422080	88423635	+	-4.8050323
Gm13272	4	88425008	88426563	+	-4.8050323
Ifnz	4	88428035	88429496	+	-4.7151337
Gm17476	4	88430359	88440295	-	-6.0215845
Gm13276	4	88430867	88432422	+	-4.8050323
Gm13277	4	88433791	88435346	+	-4.8050323
Gm13278	4	88436709	88438264	+	-4.8050323
Gm13275	4	88440391	88440939	+	-3.3020682
Gm17612	4	88442047	88446128	-	-6.0211854
Gm13279	4	88442556	88444111	+	-4.8050323
Gm13285	4	88445479	88447034	+	-4.8050323
Gm13287	4	88448998	88449965	+	-4.1202693
Gm13288	4	88451435	88454284	+	-5.678152
Ifna7	4	88462129	88462704	+	-3.3713307
Ifna11	4	88465823	88466469	+	-3.539028
Ifna6	4	88473320	88473889	+	-3.3562238
Ifna5	4	88481429	88481998	+	-3.3562238
Ifna4	4	88487720	88488363	+	-3.5323226
Ifna1	4	88495991	88496560	+	-3.3562238
4930553M12Rik	4	88513786	88514283	-	-3.1614077
Ifne	4	88525442	88526105	-	-1.8394797
Gm12603	4	88696212	88730518	+	-3.7731583
Gm12602	4	88746568	88774130	-	-4.3281107
Mtap	4	88783026	88826985	+	2.2837512
Gm12606	4	88881603	88919307	-	-4.5797005
Cdkn2a	4	88920377	88940557	-	3.7862105
Cdkn2b	4	88952198	88956941	-	-0.10106488
Gm12609	4	89048648	89066571	+	-1.3020682
Gm12610	4	89088539	89130178	+	-1.6468346
Dmrta1	4	89346127	89361463	+	-1.2255328
Gm12629	4	89852218	89856700	+	-3.6751118
Zfp352	4	89885511	89892393	+	-5.385661
Elavl2	4	90917454	91066675	-	5.1678824
Gm12668	4	91293280	91296830	+	-3.368824
Gm12670	4	91313006	91317843	+	-3.3713307
4930577H14Rik	4	91605545	91606643	-	-3.8271148
Izumo3	4	91811020	91813925	-	-4.5063276
Gm12666	4	91857435	91858440	-	-3.7788348
Gm12637	4	92195242	92214995	+	-2.724968
Tusc1	4	93000839	93002202	-	1.8037559
Gm12649	4	93119949	93337761	-	-3.3838003
Gm12648	4	93756267	94092279	-	-3.4069545
Gm12655	4	94127622	94143871	-	-1.6358674
5830433M19Rik	4	94166772	94223487	-	1.9606062
Gm10306	4	94223237	94223769	+	1.6474931
Plaa	4	94234205	94269935	-	4.618329
Ift74	4	94281182	94359920	+	4.3034787
Lrrc19	4	94303344	94316835	-	-4.525136
Gm17636	4	94318600	94323162	+	-0.91565144
Tek	4	94405980	94541667	+	0.14079092
4930579C15Rik	4	94573958	94595534	-	-1.209274
Mysm1	4	94608731	94645791	-	2.5851214
Gm12694	4	94645894	94695235	+	-1.0113348
Gm12703	4	94696654	94715061	-	-5.195052
Jun	4	94715725	94718913	-	2.7125885
BC042782	4	94718225	94834009	+	-0.6305158
4930551L18Rik	4	94755774	94758110	-	-3.652617
Gm12708	4	94860004	94876418	+	-4.5379124
Gm830	4	95134238	95154085	-	-3.6086738
Gm12707	4	95150647	95154092	+	-3.1350965
Fggy	4	95224198	95593630	+	-0.35876307
9530080O11Rik	4	95626406	95634346	-	1.8986562
Hook1	4	95633931	95692104	+	4.1971183
Cyp2j13	4	95694225	95744237	-	-6.3967786
Cyp2j12	4	95766009	95807843	-	-5.1262183
Cyp2j7-ps	4	95861888	95903350	-	-4.7665076
Cyp2j11	4	95961199	96015353	-	-5.1060405
Cyp2j8	4	96111287	96174077	-	-4.7636485
Cyp2j6	4	96182829	96220352	-	-6.0171895
Cyp2j9	4	96235120	96258269	-	-5.9057417
Cyp2j5	4	96295464	96330845	-	-5.396778
Gm12695	4	96390338	96451877	-	-5.096224
Gm10192	4	96849531	96849857	-	-2.5545528
E130114P18Rik	4	97234824	97444769	-	-5.047993
Gm12676	4	97420859	97424080	-	-3.8596175
Nfia	4	97439425	97868605	+	0.22609991
0610025J13Rik	4	97988089	97998482	+	-4.3319764
Tm2d1	4	98022061	98049997	-	2.5166109
Inadl	4	98062476	98386294	+	2.336033
L1td1	4	98393425	98405171	+	-4.0965266
Kank4	4	98421589	98484228	-	-2.0287905
A730085A09Rik	4	98460459	98465591	+	3.2571905
I0C0044D17Rik	4	98485166	98490531	-	-5.346064
Usp1	4	98590501	98602234	+	1.7779644
Dock7	4	98603356	98787606	-	4.536922
Angptl3	4	98697645	98712802	+	-6.0071497
Gm12705	4	98783105	98784992	+	-3.96959
Gm12681	4	98813605	98828333	-	-3.652617
Atg4c	4	98860625	98926478	+	0.24022126
Gm10305	4	98939362	98941836	+	-5.4746184
Gm12689	4	98962591	98963382	+	-3.6787593
Gm12690	4	99236191	99239702	+	1.2903467
Gm12688	4	99320298	99321674	-	0.40421736
Foxd3	4	99322990	99325362	+	-2.091974
Gm12682	4	99329232	99379663	-	-4.2795568
Alg6	4	99382355	99430151	+	1.4173784
Itgb3bp	4	99432093	99602418	-	0.83926684
Gm10967	4	99439047	99441197	+	-0.74056476
Efcab7	4	99495889	99498271	+	1.4375278
Efcab7	4	99550655	99585393	+	2.4279447
Pgm2	4	99602019	99659899	+	1.2712406
Gm12702	4	99725125	99738589	+	-3.4587936
Ror1	4	99768396	100117370	+	-4.9567943
Gm12701	4	99792226	99793446	+	-3.5655406
Ube2u	4	100151465	100222752	+	-0.92450225
Gm12698	4	100195852	100200406	-	-3.4493337
Cachd1	4	100449280	100701825	+	1.4557455
Gm10577	4	100692903	100693301	-	-2.8416507
Gm10576	4	100727163	100727867	-	-3.6628852
Raver2	4	100741588	100824975	+	3.528109
Jak1	4	100824972	100937887	-	5.2221904
Gm12801	4	100956826	100957808	+	-2.240325
Gm12796	4	100965019	100994350	-	-2.6276705
E130102H24Rik	4	101019136	101028853	-	-3.7347357
0610043K17Rik	4	101026388	101071786	+	-3.7901206
Gm12798	4	101075686	101080461	+	-3.5807843
Ak4	4	101091882	101140376	+	4.191748
Dnajc6	4	101169253	101315404	+	-1.5494901
Leprot	4	101320323	101331969	+	2.6301887
Lepr	4	101390009	101487957	+	-4.5106773
B020004J07Rik	4	101507574	101516628	-	-5.197173
C130073F10Rik	4	101562625	101566394	-	-4.0358768
Gm12800	4	101581726	101584513	+	-4.7082095
Gm12794	4	101613012	101615788	+	-4.7052317
Gm12790	4	101640058	101653654	-	-4.0947075
Gm12789	4	101659231	101662836	+	-4.44577
Pde4b	4	101760148	102279864	+	-7.5677276
Sgip1	4	102413902	102646233	+	-4.7696466
Gm12709	4	102639871	102662360	-	-5.1022725
Tctex1d1	4	102658984	102678199	+	-1.7761886
BB031773	4	102676711	102684570	-	-5.8850584
Insl5	4	102690477	102699447	-	-3.7012517
Wdr78	4	102710670	102787160	-	-0.001823308
Mier1	4	102786995	102838359	+	0.8630193
Slc35d1	4	102843254	102887769	-	0.46648613
4921539E11Rik	4	102903050	102963468	-	0.0468464
4930456L15Rik	4	102963564	102984437	+	0.061854035
Oma1	4	102986417	103044473	+	3.5604649
Gm12718	4	103055105	103164645	+	-3.6751118
Gm12720	4	103211450	103223287	-	-3.084049
Gm10963	4	103229694	103245771	-	-0.17868572
Dab1	4	103291964	104417449	+	-4.421724
Gm10304	4	104000857	104003162	+	-5.3725824
C8b	4	104438922	104477153	+	2.5971491
C8a	4	104488284	104549003	-	-3.8775392
Gm17662	4	104529934	104531742	+	1.2136316
1700024P16Rik	4	104586061	104689468	+	-0.08484703
Prkaa2	4	104702479	104782495	-	-2.309146
Ppap2b	4	104829952	104905369	+	0.8171981
Gm12729	4	105761319	105777673	-	-3.3348048
Gm12724	4	105913821	105962631	+	-3.5786164
Gm12730	4	105963874	105964860	+	-2.3862813
Usp24	4	105988818	106113927	+	4.1713533
Pcsk9	4	106114934	106136934	-	-3.509244
Bsnd	4	106156061	106164888	-	-2.670408
Tmem61	4	106171421	106178940	-	-3.0173497
2700068H02Rik	4	106227274	106230502	-	-0.061786465
Dhcr24	4	106233643	106261718	+	4.58208
Gm12744	4	106259702	106261713	-	4.5234637
BC055111	4	106263514	106289846	-	-4.9096274
Ttc22	4	106295037	106312794	+	-0.10164477
Pars2	4	106323674	106327887	+	1.5050869
Ttc4	4	106334861	106351549	-	4.9012413
Heatr8	4	106353022	106403530	-	-6.430225
Fam151a	4	106406494	106420897	+	-3.958546
Acot11	4	106417160	106477603	-	-5.0342956
Gm12746	4	106514366	106520525	-	-3.4658484
Ssbp3	4	106583306	106722299	+	4.783366
Gm12786	4	106690540	106695104	-	-0.79535705
Mrpl37	4	106728479	106739473	-	4.99079
Cyb5rl	4	106739593	106760873	+	2.8955817
Cdcp2	4	106769496	106780353	+	-5.3997893
Gm12802	4	106799218	106808857	+	1.5187514
2210012G02Rik	4	106806760	106851721	-	2.3956072
Tmem59	4	106851004	106873601	+	5.981833
Ldlrad1	4	106881785	106890665	+	-4.2954836
Lrrc42	4	106906119	106926137	-	6.7807984
Hspb11	4	106926198	106952543	+	1.9002696
Dio1	4	106964070	106979774	-	-5.1453857
Yipf1	4	106986968	107032428	+	2.3978152
Gm12869	4	107021644	107023958	-	-1.4756676
Tmem48	4	107040389	107088951	+	4.8617787
Glis1	4	107107196	107307666	+	-1.0737509
Dmrtb1	4	107348895	107356835	-	4.236763
1700047F07Rik	4	107362306	107431590	+	-4.23758
Gm12907	4	107437685	107443206	+	-3.1872478
4933424M12Rik	4	107460454	107462526	+	-4.9742155
Gm12908	4	107465766	107474669	-	-4.990939
Lrp8	4	107474866	107549445	+	-1.0171094
B230314M03Rik	4	107478638	107495615	-	-1.5273858
4930430J20Rik	4	107500501	107503449	-	-3.642275
Magoh	4	107552360	107560029	+	5.5090876
0610037L13Rik	4	107562418	107571989	+	3.764705
Cpt2	4	107576586	107596215	-	5.780368
4930407G08Rik	4	107626537	107633326	+	-3.6484892
Slc1a7	4	107640784	107686137	+	-5.9798937
Podn	4	107687396	107704942	-	-0.47498262
Scp2	4	107716444	107817603	-	1.517472
Echdc2	4	107838042	107851913	+	2.0008101
Zyg11a	4	107854539	107890527	-	3.0342462
Zyg11b	4	107902329	107973701	-	3.9999208
2010305A19Rik	4	108000745	108014149	+	2.5980005
Fam159a	4	108040382	108055954	-	-3.4132943
Gpx7	4	108072995	108079566	-	0.076873645
Zcchc11	4	108132031	108232026	+	2.8678615
Gm12737	4	108186386	108189422	+	-3.5512402
Prpf38a	4	108235777	108251941	-	2.7367122
Orc1	4	108252028	108288633	+	2.8396401
Gm12743	4	108265030	108292454	-	0.9921055
Cc2d1b	4	108292545	108306728	+	4.5918465
A730068I03Rik	4	108295534	108297821	-	2.2336693
Gm17354	4	108306448	108310046	-	1.7820958
Zfyve9	4	108310071	108453403	-	4.9982705
Btf3l4	4	108486900	108506219	-	1.7717589
Txndc12	4	108507206	108534732	+	4.007723
A730015C16Rik	4	108520004	108521224	-	3.0976293
Kti12	4	108520462	108522017	+	4.1381335
Rab3b	4	108551668	108615929	+	-0.66247594
8030443G20Rik	4	108615448	108644682	-	-3.8679848
Nrd1	4	108673260	108734382	+	5.3405647
Osbpl9	4	108733750	108874877	-	2.9526548
Calr4	4	108907090	108927176	+	-1.7647929
Eps15	4	108952873	109060422	+	4.3497696
Gm12750	4	109076399	109078760	-	0.52769154
Ttc39a	4	109079228	109117350	+	-0.061218433
Rnf11	4	109123703	109157333	-	3.3317358
4930522H14Rik	4	109177942	109203902	-	-4.1127977
Gm12811	4	109241819	109329396	+	-2.4309456
9630013D21Rik	4	109324134	109330458	-	-4.0819077
Cdkn2c	4	109333481	109339794	-	0.4900909
Faf1	4	109349193	109636565	+	5.4266458
3010003L10Rik	4	109649343	109650418	-	1.71453
Dmrta2	4	109650658	109656292	+	3.659444
Elavl4	4	109876327	110024514	-	-2.8597066
Agbl4	4	110070266	111336929	+	-2.1487882
Bend5	4	111087611	111132903	+	3.4068477
Spata6	4	111392589	111501789	+	3.409655
Slc5a9	4	111547980	111575523	-	-6.5412555
Skint8	4	111591997	111622963	+	-3.2345877
Skint7	4	111592160	111660828	+	-6.173309
Skint1	4	111678874	111702143	+	-5.758869
Skint4	4	111744621	111840681	+	-6.2944937
Skint3	4	111904850	111973073	+	-6.109423
Skint9	4	112058574	112106590	-	-4.6234703
Skint2	4	112286202	112324829	+	-5.4059772
Skint10	4	112383752	112447471	-	-6.069457
Skint6	4	112477221	112959578	-	-6.1022725
Gm12823	4	112596301	112617922	+	-2.5142887
Skint5	4	113150496	113672108	-	-6.3653703
Gm17095	4	113672454	113673054	-	-3.3813148
Skint11	4	113835989	113917633	+	-4.6453857
Gm12824	4	114079329	114287703	+	-1.531911
Gm12829	4	114353409	114360200	+	-5.450519
9130410C08Rik	4	114489766	114575464	-	-4.136866
Gm12830	4	114494327	114528771	+	-5.2205796
Foxd2	4	114578885	114581503	-	-3.4042032
9130206I24Rik	4	114581862	114594572	+	-5.8560414
Foxe3	4	114597681	114598657	-	-4.1336207
Cmpk1	4	114631941	114659846	-	1.1415539
Stil	4	114672723	114715801	+	1.5272961
Tal1	4	114729031	114744360	+	-1.9758636
Pdzk1ip1	4	114761313	114766504	+	-3.2604797
Cyp4x1	4	114778928	114806886	-	-5.081104
Gm12835	4	114806437	114810469	+	-5.0173497
Cyp4a12a	4	114971651	115005420	+	-5.4475527
Cyp4a12b	4	115084229	115111639	+	-5.427216
Cyp4a14	4	115158805	115168747	-	-5.5462565
Cyp4a10	4	115190869	115206254	+	-5.243749
Cyp4a31	4	115236254	115251618	+	-5.493152
Cyp4a32	4	115273574	115294207	+	-4.7863684
Cyp4b1	4	115297303	115320322	-	-5.3568563
4732418C07Rik	4	115410349	115449932	+	4.2069902
4930544O15Rik	4	115452439	115453623	-	-1.1118987
Atpaf1	4	115457589	115491433	+	2.5567143
Gm12847	4	115491462	115495260	+	-0.7394007
Mob3c	4	115500697	115508790	+	1.919718
Mknk1	4	115511803	115551855	+	3.774249
Kncn	4	115557005	115562131	+	-0.88975155
6430628N08Rik	4	115563271	115571833	+	-4.8497634
Dmbx1	4	115587149	115612531	-	-3.7002301
Faah	4	115639750	115690531	-	0.16481088
Nsun4	4	115704379	115726481	-	2.0597582
Uqcrh	4	115739570	115747676	-	4.141492
Lrrc41	4	115747874	115769648	+	6.7870207
Rad54l	4	115766869	115796295	-	4.9509716
Pomgnt1	4	115796445	115832454	+	3.1843758
1520402A15Rik	4	115805011	115823943	-	-1.0489126
Tspan1	4	115834474	115840206	-	-3.6499352
1700042G07Rik	4	115845977	115846895	+	-2.7901206
Gm12951	4	115848851	115850337	+	-2.962957
Pik3r3	4	115894223	115975661	+	6.1131234
Mast2	4	115979367	116136788	-	6.050825
Ipp	4	116180154	116210848	+	3.8130937
Tmem69	4	116224238	116228541	-	2.1157885
Gm12953	4	116224345	116225232	+	0.48539093
Gpbp1l1	4	116230263	116266505	+	4.7976723
C530005A16Rik	4	116262338	116270235	-	2.4145443
Ccdc17	4	116269259	116272871	+	-0.090514295
Nasp	4	116273657	116300556	-	4.9313045
Akr1a4	4	116309115	116324285	-	5.6108537
Prdx1	4	116358149	116373427	+	5.464127
Mmachc	4	116374884	116381011	-	3.1031191
Ccdc163	4	116381114	116423811	+	3.991812
Tesk2	4	116393553	116478561	+	2.3245296
Toe1	4	116466915	116480245	-	3.1781693
Mutyh	4	116480328	116492045	+	0.86644465
Hpdl	4	116492512	116494113	-	0.05982633
Gm12996	4	116497508	116503208	+	1.0971462
Zswim5	4	116549981	116661869	+	5.5100064
Urod	4	116662570	116667018	-	4.382793
Hectd3	4	116667922	116677882	+	5.618774
1700021J08Rik	4	116674771	116675617	-	5.266995
Eif2b3	4	116692007	116759911	+	3.5592153
Ptch2	4	116768680	116788706	+	-1.2015668
Btbd19	4	116791824	116798271	-	-0.24226452
Gm13014	4	116796582	116797771	-	-1.4798553
Tctex1d4	4	116799399	116801343	+	-4.319049
Plk3	4	116801260	116806568	-	-5.3548946
Rps8	4	116826432	116828848	-	5.8376255
Kif2c	4	116832244	116855244	-	4.0239406
Gm1661	4	116885938	116924730	-	0.43928382
1700012C08Rik	4	116885939	116886387	-	-0.55322856
Tmem53	4	116924556	116941187	+	1.7001408
Rnf220	4	116944068	117169657	-	4.061899
Gm12843	4	116968422	116970330	+	0.85175544
Gm12828	4	117118555	117127645	+	-2.3763316
Gm12827	4	117169057	117173207	+	-3.567728
Eri3	4	117222970	117346902	+	4.021623
Dmap1	4	117347286	117354878	-	5.438212
Gm12840	4	117372793	117373528	+	-3.4937274
Klf17	4	117430441	117438253	-	-4.2782216
Slc6a9	4	117507111	117547803	+	4.6773686
Gm17114	4	117507904	117541163	-	5.1579885
Ccdc24	4	117539129	117545162	-	4.212239
B4galt2	4	117541865	117556092	-	4.153814
Gm12841	4	117556226	117558600	+	5.8489256
Atp6v0b	4	117556931	117559938	-	6.786902
Dph2	4	117561248	117564637	-	3.5973835
Ipo13	4	117567091	117587604	-	4.9414654
Artn	4	117598767	117602368	-	-2.4738688
St3gal3	4	117604759	117807519	-	3.5131483
9530034E10Rik	4	117647641	117666577	+	-3.172949
Kdm4a	4	117809562	117852648	-	2.9330244
Ptprf	4	117880818	117964010	-	6.0991197
Hyi	4	118032595	118035349	+	1.3877678
Szt2	4	118035348	118081878	-	3.4025893
Med8	4	118081942	118088387	+	4.2290926
Elovl1	4	118100698	118105558	+	1.2245278
Cdc20	4	118105506	118109957	-	3.6906486
Mpl	4	118115020	118130118	-	-5.7318125
Tie1	4	118143796	118162666	-	-2.8535337
2610528J11Rik	4	118199604	118202833	+	0.96730363
Tmem125	4	118213546	118216649	-	-5.393082
Wdr65	4	118227156	118293382	-	1.3699348
Ebna1bp2	4	118293404	118300381	+	4.212413
Gm12853	4	118305452	118308667	-	-2.989308
Olfr62	4	118338124	118339072	+	-4.09167
Olfr1342	4	118362067	118363068	-	-2.433107
Olfr1341	4	118381015	118382952	+	-4.1172853
Olfr1340	4	118398854	118399804	+	-4.0947075
Olfr1339	4	118407136	118408083	+	-4.0901494
Olfr1338	4	118426200	118427141	-	-4.080989
Olfr1337	4	118454241	118455188	-	-4.0901494
Olfr1335	4	118481402	118482549	-	-4.3663125
Olfr1333	4	118502090	118508878	-	-4.401078
Olfr1331	4	118537263	118542341	+	-2.661657
Olfr1330	4	118565690	118566637	+	-4.0901494
Olfr1329	4	118589129	118590070	-	-4.080989
Olfr1328	4	118606504	118607445	-	-4.080989
Gm12863	4	118626879	118627524	-	-3.267495
Lao1	4	118634183	118641517	+	-5.514856
Gm12861	4	118643902	118672063	+	-3.612917
Gm12865	4	118656663	118669803	-	-2.5501342
Gm12862	4	118672265	118673090	-	-3.084049
Gm12866	4	118727395	118741716	-	-3.1709363
Slc2a1	4	118781316	118809935	+	2.2138004
Gm12867	4	118802897	118803606	-	-0.5635251
Gm12868	4	118806354	118811406	-	0.7061253
Zfp691	4	118842118	118846800	-	2.580361
Ermap	4	118848062	118862616	-	-6.420363
Ccdc23	4	118867911	118873903	+	4.9893565
AU022252	4	118876175	118905317	-	2.0277903
4930538K18Rik	4	118877712	118890822	-	0.09062773
Gm12898	4	118895779	118897420	+	2.3246074
Lepre1	4	118905520	118921580	+	4.2773066
Gm12927	4	118925127	118929580	-	-2.7444377
Cldn19	4	118928019	118935043	+	-6.2590594
Ybx1	4	118950586	118967209	-	4.4297404
Ppih	4	118972615	118993151	-	3.707233
Ccdc30	4	118995498	119088126	-	-1.8812013
Ppcs	4	119091135	119095025	-	0.7285044
Zmynd12	4	119095419	119140049	+	2.1159694
Rimkla	4	119137888	119165233	-	-0.26372185
AA415398	4	119202927	119211735	-	1.2442034
Foxj3	4	119212266	119301724	+	3.06747
Guca2a	4	119310309	119312076	+	-3.415725
Guca2b	4	119329212	119331559	-	-0.35484272
Hivep3	4	119406389	119810650	+	0.30035242
Edn2	4	119833811	119839965	+	-2.9781678
Foxo6	4	119939684	119959954	-	1.575282
4732418A04Rik	4	119963955	119976497	+	-5.3631673
Scmh1	4	120077886	120202804	+	4.220941
Slfnl1	4	120204836	120209266	+	-4.832401
Ctps	4	120212473	120242881	-	4.352084
Gm8439	4	120261350	120282278	+	-2.9156516
Gm12860	4	120288445	120295287	+	-4.103781
Cited4	4	120339168	120340425	+	2.011233
Kcnq4	4	120368743	120421217	-	-2.0238173
Nfyc	4	120430043	120504177	-	1.6276882
Rims3	4	120527421	120569184	+	3.805693
Dem1	4	120593801	120597622	-	1.3189037
Zfp69	4	120602742	120624304	-	2.3095903
Smap2	4	120640922	120689852	-	5.3862596
Col9a2	4	120711990	120727927	+	0.18776359
Zmpste24	4	120731842	120770846	-	1.8413658
Tmco2	4	120778256	120781831	-	-3.6912537
Rlf	4	120817978	120887689	-	4.4220996
Gm12888	4	120988921	120997522	-	-4.4071994
Gm12886	4	121087340	121095704	-	-4.367569
Gm12887	4	121286876	121294708	-	-2.6932592
